prev_caption,curr_caption,human_transition,input_text
a man walking down a sidewalk in a field,a man is playing with a frc in a field,,"Caption 1: a man walking down a sidewalk in a field
Caption 2: a man is playing with a frc in a field
What's the transition?"
a boy and a girl are standing in a room,a man and a woman are in a room,,"Caption 1: a boy and a girl are standing in a room
Caption 2: a man and a woman are in a room
What's the transition?"
a man and a woman are in a room,a man and a woman are in a gym,,"Caption 1: a man and a woman are in a room
Caption 2: a man and a woman are in a gym
What's the transition?"
a man on a pole with a pole in the background,a man is flying through the air with a parachute,,"Caption 1: a man on a pole with a pole in the background
Caption 2: a man is flying through the air with a parachute
What's the transition?"
a plane flying in the sky,a video game with a man in the middle,,"Caption 1: a plane flying in the sky
Caption 2: a video game with a man in the middle
What's the transition?"
a video game with a man in the middle,a video game with a car and a person on the street,,"Caption 1: a video game with a man in the middle
Caption 2: a video game with a car and a person on the street
What's the transition?"
a video game with a car and a person on the street,a motorcycle is on the track as another motorcycle is on the track,,"Caption 1: a video game with a car and a person on the street
Caption 2: a motorcycle is on the track as another motorcycle is on the track
What's the transition?"
a television screen showing a man falling off a building,a helicopter is seen in the sky above a building,,"Caption 1: a television screen showing a man falling off a building
Caption 2: a helicopter is seen in the sky above a building
What's the transition?"
a helicopter is seen in the sky above a building,a plane is flying through the air,,"Caption 1: a helicopter is seen in the sky above a building
Caption 2: a plane is flying through the air
What's the transition?"
a plane is flying through the air,a television screen showing a plane flying over a city,,"Caption 1: a plane is flying through the air
Caption 2: a television screen showing a plane flying over a city
What's the transition?"
a television screen with a picture of a plane flying over a building,a tv screen showing a man standing in the middle of a house,,"Caption 1: a television screen with a picture of a plane flying over a building
Caption 2: a tv screen showing a man standing in the middle of a house
What's the transition?"
a tv screen showing a man standing in the middle of a house,a video of a house being destroyed by the israeli air strike,,"Caption 1: a tv screen showing a man standing in the middle of a house
Caption 2: a video of a house being destroyed by the israeli air strike
What's the transition?"
a fire is seen in the dark sky,a plane flying through the sky,,"Caption 1: a fire is seen in the dark sky
Caption 2: a plane flying through the sky
What's the transition?"
a plane flying through the sky,a man is hanging on a telephone pole,,"Caption 1: a plane flying through the sky
Caption 2: a man is hanging on a telephone pole
What's the transition?"
a cat is walking in front of a door,a black cat laying on the floor in front of a door,,"Caption 1: a cat is walking in front of a door
Caption 2: a black cat laying on the floor in front of a door
What's the transition?"
a red car driving down a street with confe,a bunch of balloons are flying in the air,,"Caption 1: a red car driving down a street with confe
Caption 2: a bunch of balloons are flying in the air
What's the transition?"
a bunch of balloons are flying in the air,a red fire hydrant with colorful balloons on the ground,,"Caption 1: a bunch of balloons are flying in the air
Caption 2: a red fire hydrant with colorful balloons on the ground
What's the transition?"
a man is kneeling on the floor,a cat is playing with a person ' s feet,,"Caption 1: a man is kneeling on the floor
Caption 2: a cat is playing with a person ' s feet
What's the transition?"
a man standing on the floor with a cat,a man is standing on the floor with his feet on the floor,,"Caption 1: a man standing on the floor with a cat
Caption 2: a man is standing on the floor with his feet on the floor
What's the transition?"
a man is standing on the floor with his feet on the floor,a man is sitting in a room with a laptop,,"Caption 1: a man is standing on the floor with his feet on the floor
Caption 2: a man is sitting in a room with a laptop
What's the transition?"
a man is sitting in a room with a laptop,a woman is kneeling on the floor in a room,,"Caption 1: a man is sitting in a room with a laptop
Caption 2: a woman is kneeling on the floor in a room
What's the transition?"
a black background with a white and red flower,a woman holding a baby,,"Caption 1: a black background with a white and red flower
Caption 2: a woman holding a baby
What's the transition?"
a woman holding a baby,a baby drinking from a bottle,,"Caption 1: a woman holding a baby
Caption 2: a baby drinking from a bottle
What's the transition?"
a group of people walking on a beach,a group of people playing soccer on the beach,,"Caption 1: a group of people walking on a beach
Caption 2: a group of people playing soccer on the beach
What's the transition?"
a man on a roof,a wooden structure,,"Caption 1: a man on a roof
Caption 2: a wooden structure
What's the transition?"
a wooden church with a steep on top,a man is standing on a wooden structure,,"Caption 1: a wooden church with a steep on top
Caption 2: a man is standing on a wooden structure
What's the transition?"
a bird house with a bird on top,a man is standing on a water sper,,"Caption 1: a bird house with a bird on top
Caption 2: a man is standing on a water sper
What's the transition?"
a group of people dancing in a dance studio,a scene from the movie ' s first scene,,"Caption 1: a group of people dancing in a dance studio
Caption 2: a scene from the movie ' s first scene
What's the transition?"
a small white kitten sitting on a red and white checkered blanket,a white cat is sitting in a basket,,"Caption 1: a small white kitten sitting on a red and white checkered blanket
Caption 2: a white cat is sitting in a basket
What's the transition?"
a white cat is sitting in a basket,a cat is sitting in a pink box,,"Caption 1: a white cat is sitting in a basket
Caption 2: a cat is sitting in a pink box
What's the transition?"
a cat is sitting in a pink box,a kitten is standing on a pink surface,,"Caption 1: a cat is sitting in a pink box
Caption 2: a kitten is standing on a pink surface
What's the transition?"
a kitten is standing on a pink surface,a small white and gray rabbit,,"Caption 1: a kitten is standing on a pink surface
Caption 2: a small white and gray rabbit
What's the transition?"
a small white and gray rabbit,a small white and gray puppy,,"Caption 1: a small white and gray rabbit
Caption 2: a small white and gray puppy
What's the transition?"
a small white and gray puppy,a kitten is standing on a pink box,,"Caption 1: a small white and gray puppy
Caption 2: a kitten is standing on a pink box
What's the transition?"
a man is standing on the floor with his hands in the air,a man is bending his head on the floor,,"Caption 1: a man is standing on the floor with his hands in the air
Caption 2: a man is bending his head on the floor
What's the transition?"
a man is bending his head on the floor,a man is playing with a dog in a room,,"Caption 1: a man is bending his head on the floor
Caption 2: a man is playing with a dog in a room
What's the transition?"
