prev_caption,curr_caption,human_transition,input_text,generated_transition
a man riding a horse in a fence,a man riding a horse at night,,"Caption 1: a man riding a horse in a fence
Caption 2: a man riding a horse at night
What's the transition?",The man continues riding at night.
a man riding a horse at night,a man riding a horse in a rodeo,,"Caption 1: a man riding a horse at night
Caption 2: a man riding a horse in a rodeo
What's the transition?",The man continues riding.
a man jumping in the air with a basketball,a man holding a basketball ball next to another man,,"Caption 1: a man jumping in the air with a basketball
Caption 2: a man holding a basketball ball next to another man
What's the transition?",The man continues to hold the ball.
a pot of broccole,a pot filled with bro bro in a pot,,"Caption 1: a pot of broccole
Caption 2: a pot filled with bro bro in a pot
What's the transition?",The pot continues to boil.
a black and white image of a man in a tunnel,a man in a suit is standing in a room,,"Caption 1: a black and white image of a man in a tunnel
Caption 2: a man in a suit is standing in a room
What's the transition?",The man is in a room.
a man in a suit is standing in a room,a man is standing in front of a brick wall,,"Caption 1: a man in a suit is standing in a room
Caption 2: a man is standing in front of a brick wall
What's the transition?",The man stands in front of the brick wall.
a man is standing in front of a brick wall,a man and woman are kissing in the dark,,"Caption 1: a man is standing in front of a brick wall
Caption 2: a man and woman are kissing in the dark
What's the transition?",The man and woman continue to kiss.
a man and woman are kissing in the dark,a black and white image of a person in the woods,,"Caption 1: a man and woman are kissing in the dark
Caption 2: a black and white image of a person in the woods
What's the transition?",A person appears in the woods.
a woman with black hair,a man is doing a trick on a skateboard,,"Caption 1: a woman with black hair
Caption 2: a man is doing a trick on a skateboard
What's the transition?",The woman moves to a skateboard.
a woman is walking down the street with a yellow fire hydrant,a window with a view of a street,,"Caption 1: a woman is walking down the street with a yellow fire hydrant
Caption 2: a window with a view of a street
What's the transition?",The camera looks up at the street.
a window with a view of a street,a cat is walking on the sidewalk in the rain,,"Caption 1: a window with a view of a street
Caption 2: a cat is walking on the sidewalk in the rain
What's the transition?",A cat appears.
a woman holding a tray of food in her hands,a woman playing a flute in a living room,,"Caption 1: a woman holding a tray of food in her hands
Caption 2: a woman playing a flute in a living room
What's the transition?",The woman plays a flute.
a girl playing a flute,a woman playing a flute in a living room,,"Caption 1: a girl playing a flute
Caption 2: a woman playing a flute in a living room
What's the transition?",The woman plays a flute in the living room.
a little girl is playing with a toy,a little girl is standing on the stairs,,"Caption 1: a little girl is playing with a toy
Caption 2: a little girl is standing on the stairs
What's the transition?",The little girl stands on the stairs.
a little girl is standing on the stairs,a little girl is running down the stairs,,"Caption 1: a little girl is standing on the stairs
Caption 2: a little girl is running down the stairs
What's the transition?",The little girl starts to run down the stairs.
a baby is running down the hallway,a little girl is walking down the hallway,,"Caption 1: a baby is running down the hallway
Caption 2: a little girl is walking down the hallway
What's the transition?",The baby starts walking.
a baseball player is hitting the ball,a man is standing on a cricket field,,"Caption 1: a baseball player is hitting the ball
Caption 2: a man is standing on a cricket field
What's the transition?",A man appears on the cricket field.
a group of pup playing with each other pup,a cat and a dog are playing on a wooden floor,,"Caption 1: a group of pup playing with each other pup
Caption 2: a cat and a dog are playing on a wooden floor
What's the transition?",A cat and a dog are playing.
a cat and a dog are playing on a table,a cat is standing on a crate,,"Caption 1: a cat and a dog are playing on a table
Caption 2: a cat is standing on a crate
What's the transition?",The cat and a dog are now on a crate.
a man in a striped shirt is washing his hands in a sink,a man in a striped shirt,,"Caption 1: a man in a striped shirt is washing his hands in a sink
Caption 2: a man in a striped shirt
What's the transition?",The man continues to wash his hands.
a man in a kitchen with a knife and a bowl,a man is washing his hands in a sink,,"Caption 1: a man in a kitchen with a knife and a bowl
Caption 2: a man is washing his hands in a sink
What's the transition?",The man is washing his hands.
a man is washing his hands in a sink,a man sitting in a sink with a cup,,"Caption 1: a man is washing his hands in a sink
Caption 2: a man sitting in a sink with a cup
What's the transition?",The man sits down with a cup.
a woman standing in front of a refrigerator,a little girl sitting on top of a refrigerator,,"Caption 1: a woman standing in front of a refrigerator
Caption 2: a little girl sitting on top of a refrigerator
What's the transition?",The baby is now on top of the refrigerator.
a little girl sitting on top of a refrigerator,a girl is standing on a box outside,,"Caption 1: a little girl sitting on top of a refrigerator
Caption 2: a girl is standing on a box outside
What's the transition?",The girl stands on top of the refrigerator.
a white container with a meat in it,a pan of food with a red liquid on it,,"Caption 1: a white container with a meat in it
Caption 2: a pan of food with a red liquid on it
What's the transition?",The container is now in a pan.
a woman sitting on a chair,a woman sitting on a couch,,"Caption 1: a woman sitting on a chair
Caption 2: a woman sitting on a couch
What's the transition?",The woman sits on the couch.
a woman sitting on a couch,a woman sitting on a bed with a stuffed animal,,"Caption 1: a woman sitting on a couch
Caption 2: a woman sitting on a bed with a stuffed animal
What's the transition?",The woman moves to the bed with a stuffed animal.
a woman in a yellow sari sari sari sari sari sari sari sari sari sari sari sar,a woman is being thrown into the water,,"Caption 1: a woman in a yellow sari sari sari sari sari sari sari sari sari sari sari sar
Caption 2: a woman is being thrown into the water
What's the transition?",The woman is thrown into the water.
a plane flying in the sky,a man is sitting on a motorcycle in the rain,,"Caption 1: a plane flying in the sky
Caption 2: a man is sitting on a motorcycle in the rain
What's the transition?",A man appears on a motorcycle.
a man is sitting on a motorcycle in the rain,a man is sitting in a car with a dog,,"Caption 1: a man is sitting on a motorcycle in the rain
Caption 2: a man is sitting in a car with a dog
What's the transition?",The man is with a dog.
a man is sitting in a car with a dog,a man in a red helmet is flying in a plane,,"Caption 1: a man is sitting in a car with a dog
Caption 2: a man in a red helmet is flying in a plane
What's the transition?",The man is flying in a plane.
a man in a red helmet flying through the air,a group of people are gathered around a store,,"Caption 1: a man in a red helmet flying through the air
Caption 2: a group of people are gathered around a store
What's the transition?",People gather around a store.
a television screen showing a cricket match,a man is jumping in the air,,"Caption 1: a television screen showing a cricket match
Caption 2: a man is jumping in the air
What's the transition?",A man jumps in the air.
